normalized_question_category,sample_count,valid_prediction_count,invalid_prediction_count,invalid_prediction_rate,overall_accuracy,valid_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_negative,false_positive,false_negative,true_positive
CausaleEsplicita,800,800,0,0.0,0.6575,0.6575,0.6475195822454308,0.6408268733850129,0.644155844155844,0.6666666666666666,0.6731234866828087,0.6698795180722892,248,139,135,278
CausaleImplicita,800,800,0,0.0,0.68875,0.68875,0.6695842450765864,0.7574257425742574,0.710801393728223,0.7142857142857143,0.6186868686868687,0.6630581867388363,306,98,151,245
Controfattuale,1600,1600,0,0.0,0.77875,0.77875,0.8564885496183207,0.6833130328867235,0.7601626016260163,0.7248677248677249,0.8793324775353016,0.794663573085847,561,260,94,685
ImplicitoParziale,1600,1600,0,0.0,0.561875,0.561875,0.5470162748643761,0.7515527950310559,0.6331763474620618,0.5951417004048583,0.36981132075471695,0.4561675717610551,605,200,501,294
ImplicitoTot,1600,1600,0,0.0,0.608125,0.608125,0.5858407079646017,0.8063337393422655,0.6786263454638647,0.6617021276595745,0.3992297817715019,0.4979983987189753,662,159,468,311
Incertezza,1600,1600,0,0.0,0.964375,0.964375,0.965893587994543,0.9567567567567568,0.9613034623217922,0.9630911188004614,0.9709302325581395,0.9669947886508397,708,32,25,835
OutofScope,1600,1600,0,0.0,0.6525,0.6525,0.5877988458367683,0.9271781534460338,0.7194752774974773,0.8552971576227391,0.3983152827918171,0.5435139573070608,713,56,500,331
Pianificazione,1600,1600,0,0.0,0.74375,0.74375,0.7994186046511628,0.6690997566909975,0.728476821192053,0.7017543859649122,0.8226221079691517,0.757396449704142,550,272,138,640
Sentiment,1600,1600,0,0.0,0.71625,0.71625,0.6535087719298246,0.9266169154228856,0.7664609053497943,0.8717391304347826,0.5037688442211056,0.6385350318471338,745,59,395,401
SpazialeParziale,1600,1600,0,0.0,0.574375,0.574375,0.6072013093289689,0.45689655172413796,0.5214335910049192,0.5540950455005056,0.6954314720812182,0.6167698368036015,371,441,240,548
SpazialeTotale,1600,1600,0,0.0,0.615,0.615,0.6143617021276596,0.5862944162436549,0.6000000000000001,0.6155660377358491,0.6428571428571429,0.6289156626506025,462,326,290,522
TemporaleDurata,1600,1600,0,0.0,0.7075,0.7075,0.7031802120141343,0.7343173431734318,0.7184115523465704,0.7123834886817576,0.6797966963151207,0.6957087126137841,597,216,252,535
TemporaleParziale,1600,1600,0,0.0,0.650625,0.650625,0.6656101426307448,0.546875,0.6004288777698356,0.6408668730650154,0.7463942307692307,0.6896168795113825,420,348,211,621
