video_id,sample_count,valid_prediction_count,invalid_prediction_count,invalid_prediction_rate,overall_accuracy,valid_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_negative,false_positive,false_negative,true_positive
Video1,192,192,0,0.0,0.7083333333333334,0.7083333333333334,0.6633663366336634,0.7528089887640449,0.7052631578947368,0.7582417582417582,0.6699029126213593,0.7113402061855669,67,22,34,69
Video2,192,192,0,0.0,0.6875,0.6875,0.7142857142857143,0.5913978494623656,0.6470588235294118,0.6695652173913044,0.7777777777777778,0.719626168224299,55,38,22,77
Video3,192,192,0,0.0,0.6614583333333334,0.6614583333333334,0.6956521739130435,0.7272727272727273,0.711111111111111,0.6103896103896104,0.573170731707317,0.5911949685534591,80,30,35,47
Video4,192,192,0,0.0,0.7395833333333334,0.7395833333333334,0.7422680412371134,0.7422680412371134,0.7422680412371134,0.7368421052631579,0.7368421052631579,0.7368421052631579,72,25,25,70
Video5,192,192,0,0.0,0.65625,0.65625,0.6697247706422018,0.7087378640776699,0.6886792452830189,0.6385542168674698,0.5955056179775281,0.616279069767442,73,30,36,53
Video6,192,192,0,0.0,0.6770833333333334,0.6770833333333334,0.6509433962264151,0.7340425531914894,0.6900000000000001,0.7093023255813954,0.6224489795918368,0.6630434782608696,69,25,37,61
Video7,192,192,0,0.0,0.7447916666666666,0.7447916666666666,0.7128712871287128,0.782608695652174,0.7461139896373056,0.7802197802197802,0.71,0.743455497382199,72,20,29,71
Video8,192,192,0,0.0,0.6145833333333334,0.6145833333333334,0.6363636363636364,0.6730769230769231,0.6542056074766355,0.5853658536585366,0.5454545454545454,0.5647058823529411,70,34,40,48
Video9,192,192,0,0.0,0.6822916666666666,0.6822916666666666,0.6991150442477876,0.7452830188679245,0.7214611872146119,0.6582278481012658,0.6046511627906976,0.6303030303030303,79,27,34,52
Video10,192,192,0,0.0,0.7083333333333334,0.7083333333333334,0.6754385964912281,0.8020833333333334,0.7333333333333333,0.7564102564102564,0.6145833333333334,0.6781609195402298,77,19,37,59
Video11,192,192,0,0.0,0.6979166666666666,0.6979166666666666,0.7261904761904762,0.6354166666666666,0.6777777777777777,0.6759259259259259,0.7604166666666666,0.7156862745098039,61,35,23,73
Video12,192,192,0,0.0,0.6614583333333334,0.6614583333333334,0.6534653465346535,0.6875,0.6700507614213197,0.6703296703296703,0.6354166666666666,0.6524064171122994,66,30,35,61
Video13,192,192,0,0.0,0.6979166666666666,0.6979166666666666,0.7475728155339806,0.7064220183486238,0.7264150943396226,0.6404494382022472,0.6867469879518072,0.6627906976744186,77,32,26,57
Video14,192,192,0,0.0,0.6510416666666666,0.6510416666666666,0.6173913043478261,0.7553191489361702,0.6794258373205742,0.7012987012987013,0.5510204081632653,0.6171428571428571,71,23,44,54
Video15,192,192,0,0.0,0.7552083333333334,0.7552083333333334,0.7087378640776699,0.8111111111111111,0.756476683937824,0.8089887640449438,0.7058823529411765,0.7539267015706808,73,17,30,72
Video16,192,192,0,0.0,0.5625,0.5625,0.48623853211009177,0.654320987654321,0.5578947368421053,0.6626506024096386,0.4954954954954955,0.5670103092783505,53,28,56,55
Video17,192,192,0,0.0,0.5989583333333334,0.5989583333333334,0.648936170212766,0.580952380952381,0.6130653266331658,0.5510204081632653,0.6206896551724138,0.5837837837837838,61,44,33,54
Video18,192,192,0,0.0,0.6666666666666666,0.6666666666666666,0.6896551724137931,0.6185567010309279,0.6521739130434783,0.6476190476190476,0.7157894736842105,0.68,60,37,27,68
Video19,192,192,0,0.0,0.7552083333333334,0.7552083333333334,0.68,0.8192771084337349,0.7431693989071038,0.8369565217391305,0.7064220183486238,0.7661691542288558,68,15,32,77
Video20,192,192,0,0.0,0.6875,0.6875,0.6756756756756757,0.7575757575757576,0.7142857142857142,0.7037037037037037,0.6129032258064516,0.6551724137931035,75,24,36,57
Video21,192,192,0,0.0,0.7135416666666666,0.7135416666666666,0.63,0.7777777777777778,0.6961325966850829,0.8043478260869565,0.6666666666666666,0.729064039408867,63,18,37,74
Video22,192,192,0,0.0,0.734375,0.734375,0.6896551724137931,0.7142857142857143,0.7017543859649122,0.7714285714285715,0.75,0.7605633802816902,60,24,27,81
Video23,192,192,0,0.0,0.7604166666666666,0.7604166666666666,0.7142857142857143,0.7954545454545454,0.7526881720430106,0.8085106382978723,0.7307692307692307,0.7676767676767676,70,18,28,76
Video24,192,192,0,0.0,0.671875,0.671875,0.6578947368421053,0.7575757575757576,0.704225352112676,0.6923076923076923,0.5806451612903226,0.631578947368421,75,24,39,54
Video25,192,192,0,0.0,0.71875,0.71875,0.6736842105263158,0.735632183908046,0.7032967032967034,0.7628865979381443,0.7047619047619048,0.7326732673267325,64,23,31,74
Video26,192,192,0,0.0,0.6927083333333334,0.6927083333333334,0.7019230769230769,0.7227722772277227,0.7121951219512195,0.6818181818181818,0.6593406593406593,0.6703910614525139,73,28,31,60
Video27,192,192,0,0.0,0.7447916666666666,0.7447916666666666,0.7254901960784313,0.7789473684210526,0.751269035532995,0.7666666666666667,0.711340206185567,0.7379679144385027,74,21,28,69
Video28,192,192,0,0.0,0.6666666666666666,0.6666666666666666,0.6226415094339622,0.7333333333333333,0.673469387755102,0.7209302325581395,0.6078431372549019,0.6595744680851063,66,24,40,62
Video29,192,192,0,0.0,0.6822916666666666,0.6822916666666666,0.6938775510204082,0.6868686868686869,0.6903553299492386,0.6702127659574468,0.6774193548387096,0.6737967914438502,68,31,30,63
Video30,192,192,0,0.0,0.7291666666666666,0.7291666666666666,0.717391304347826,0.717391304347826,0.717391304347826,0.74,0.74,0.74,66,26,26,74
Video31,192,192,0,0.0,0.6614583333333334,0.6614583333333334,0.6132075471698113,0.7303370786516854,0.6666666666666666,0.7209302325581395,0.6019417475728155,0.656084656084656,65,24,41,62
Video32,192,192,0,0.0,0.7083333333333334,0.7083333333333334,0.6637931034482759,0.8191489361702128,0.7333333333333334,0.7763157894736842,0.6020408163265306,0.6781609195402298,77,17,39,59
Video33,192,192,0,0.0,0.7552083333333334,0.7552083333333334,0.7169811320754716,0.8172043010752689,0.7638190954773869,0.8023255813953488,0.696969696969697,0.745945945945946,76,17,30,69
Video34,192,192,0,0.0,0.671875,0.671875,0.6407766990291263,0.717391304347826,0.676923076923077,0.7078651685393258,0.63,0.6666666666666666,66,26,37,63
Video35,192,192,0,0.0,0.6822916666666666,0.6822916666666666,0.6138613861386139,0.7380952380952381,0.6702702702702702,0.7582417582417582,0.6388888888888888,0.6934673366834171,62,22,39,69
Video36,192,192,0,0.0,0.7135416666666666,0.7135416666666666,0.7184466019417476,0.74,0.729064039408867,0.7078651685393258,0.6847826086956522,0.6961325966850829,74,26,29,63
Video37,192,192,0,0.0,0.6197916666666666,0.6197916666666666,0.6288659793814433,0.6224489795918368,0.6256410256410256,0.6105263157894737,0.6170212765957447,0.6137566137566138,61,37,36,58
Video38,192,192,0,0.0,0.71875,0.71875,0.6630434782608695,0.7261904761904762,0.6931818181818181,0.77,0.7129629629629629,0.7403846153846153,61,23,31,77
Video39,192,192,0,0.0,0.6458333333333334,0.6458333333333334,0.6470588235294118,0.673469387755102,0.66,0.6444444444444445,0.6170212765957447,0.6304347826086957,66,32,36,58
Video40,192,192,0,0.0,0.6875,0.6875,0.68,0.8095238095238095,0.7391304347826089,0.7014925373134329,0.5402298850574713,0.6103896103896104,85,20,40,47
Video41,192,192,0,0.0,0.5989583333333334,0.5989583333333334,0.5576923076923077,0.651685393258427,0.6010362694300518,0.6477272727272727,0.5533980582524272,0.5968586387434555,58,31,46,57
Video42,192,192,0,0.0,0.65625,0.65625,0.6568627450980392,0.6836734693877551,0.67,0.6555555555555556,0.6276595744680851,0.6413043478260869,67,31,35,59
Video43,192,192,0,0.0,0.671875,0.671875,0.6967213114754098,0.7657657657657657,0.7296137339055793,0.6285714285714286,0.5432098765432098,0.5827814569536424,85,26,37,44
Video44,192,192,0,0.0,0.7552083333333334,0.7552083333333334,0.7448979591836735,0.7684210526315789,0.7564766839378239,0.7659574468085106,0.7422680412371134,0.7539267015706806,73,22,25,72
Video45,192,192,0,0.0,0.6927083333333334,0.6927083333333334,0.6936936936936937,0.7549019607843137,0.7230046948356808,0.691358024691358,0.6222222222222222,0.6549707602339181,77,25,34,56
Video46,192,192,0,0.0,0.65625,0.65625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6451612903225806,0.6451612903225806,0.6451612903225806,66,33,33,60
Video47,192,192,0,0.0,0.6927083333333334,0.6927083333333334,0.6574074074074074,0.7634408602150538,0.7064676616915422,0.7380952380952381,0.6262626262626263,0.6775956284153005,71,22,37,62
Video48,192,192,0,0.0,0.734375,0.734375,0.6698113207547169,0.8160919540229885,0.7357512953367875,0.813953488372093,0.6666666666666666,0.7329842931937173,71,16,35,70
Video49,192,192,0,0.0,0.6302083333333334,0.6302083333333334,0.6,0.5795454545454546,0.5895953757225433,0.6542056074766355,0.6730769230769231,0.6635071090047393,51,37,34,70
Video50,192,192,0,0.0,0.7291666666666666,0.7291666666666666,0.6730769230769231,0.7954545454545454,0.7291666666666666,0.7954545454545454,0.6730769230769231,0.7291666666666666,70,18,34,70
Video51,192,192,0,0.0,0.765625,0.765625,0.74,0.7956989247311828,0.7668393782383419,0.7934782608695652,0.7373737373737373,0.7643979057591622,74,19,26,73
Video52,192,192,0,0.0,0.6875,0.6875,0.6732673267326733,0.7157894736842105,0.6938775510204082,0.7032967032967034,0.6597938144329897,0.6808510638297872,68,27,33,64
Video53,192,192,0,0.0,0.734375,0.734375,0.74,0.7474747474747475,0.743718592964824,0.7282608695652174,0.7204301075268817,0.7243243243243243,74,25,26,67
