EXPERIMENT 1A EVALUATION REPORT
================================

METRIC GUIDE
------------
- overall_accuracy: accuracy computed on all samples.
- valid_accuracy: accuracy computed only on outputs successfully parsed as 0 or 1.
- invalid_prediction_rate: share of outputs that could not be parsed as 0 or 1.
- precision/recall/F1 are reported separately for label 0 and label 1.
- The confusion matrix follows the convention actual rows / predicted columns.

EXPERIMENT 1A - GLOBAL METRICS
--------------------------------
 scope  sample_count  valid_prediction_count  invalid_prediction_count  invalid_prediction_rate  overall_accuracy  valid_accuracy  precision_label_0  recall_label_0  f1_label_0  precision_label_1  recall_label_1  f1_label_1  true_negative  false_positive  false_negative  true_positive
GLOBAL         19200                   19200                         0                   0.0000            0.6872          0.6872             0.6714          0.7272      0.6982             0.7056          0.6475      0.6753           6948            2606            3400           6246

EXPERIMENT 1A - GLOBAL CONFUSION MATRIX
-----------------------------------------
          predicted_0  predicted_1
actual_0         6948         2606
actual_1         3400         6246

EXPERIMENT 1A - METRICS BY NORMALIZED QUESTION CATEGORY
-----------------------------------------------------------
normalized_question_category  sample_count  valid_prediction_count  invalid_prediction_count  invalid_prediction_rate  overall_accuracy  valid_accuracy  precision_label_0  recall_label_0  f1_label_0  precision_label_1  recall_label_1  f1_label_1  true_negative  false_positive  false_negative  true_positive
            CausaleEsplicita           800                     800                         0                   0.0000            0.6575          0.6575             0.6475          0.6408      0.6442             0.6667          0.6731      0.6699            248             139             135            278
            CausaleImplicita           800                     800                         0                   0.0000            0.6887          0.6887             0.6696          0.7574      0.7108             0.7143          0.6187      0.6631            306              98             151            245
              Controfattuale          1600                    1600                         0                   0.0000            0.7788          0.7788             0.8565          0.6833      0.7602             0.7249          0.8793      0.7947            561             260              94            685
           ImplicitoParziale          1600                    1600                         0                   0.0000            0.5619          0.5619             0.5470          0.7516      0.6332             0.5951          0.3698      0.4562            605             200             501            294
                ImplicitoTot          1600                    1600                         0                   0.0000            0.6081          0.6081             0.5858          0.8063      0.6786             0.6617          0.3992      0.4980            662             159             468            311
                  Incertezza          1600                    1600                         0                   0.0000            0.9644          0.9644             0.9659          0.9568      0.9613             0.9631          0.9709      0.9670            708              32              25            835
                  OutofScope          1600                    1600                         0                   0.0000            0.6525          0.6525             0.5878          0.9272      0.7195             0.8553          0.3983      0.5435            713              56             500            331
              Pianificazione          1600                    1600                         0                   0.0000            0.7438          0.7438             0.7994          0.6691      0.7285             0.7018          0.8226      0.7574            550             272             138            640
                   Sentiment          1600                    1600                         0                   0.0000            0.7163          0.7163             0.6535          0.9266      0.7665             0.8717          0.5038      0.6385            745              59             395            401
            SpazialeParziale          1600                    1600                         0                   0.0000            0.5744          0.5744             0.6072          0.4569      0.5214             0.5541          0.6954      0.6168            371             441             240            548
              SpazialeTotale          1600                    1600                         0                   0.0000            0.6150          0.6150             0.6144          0.5863      0.6000             0.6156          0.6429      0.6289            462             326             290            522
             TemporaleDurata          1600                    1600                         0                   0.0000            0.7075          0.7075             0.7032          0.7343      0.7184             0.7124          0.6798      0.6957            597             216             252            535
           TemporaleParziale          1600                    1600                         0                   0.0000            0.6506          0.6506             0.6656          0.5469      0.6004             0.6409          0.7464      0.6896            420             348             211            621

EXPERIMENT 1A - METRICS BY VIDEO
------------------------------------
