video_id,n_samples,valid_free_predictions,invalid_free_predictions,empty_raw_outputs,free_output_accuracy,free_output_valid_accuracy,score_based_accuracy,free_label_0_precision,free_label_0_recall,free_label_0_f1,free_label_1_precision,free_label_1_recall,free_label_1_f1,score_label_0_precision,score_label_0_recall,score_label_0_f1,score_label_1_precision,score_label_1_recall,score_label_1_f1,avg_choice_0_score,avg_choice_1_score,avg_confidence,avg_score_gap,free_vs_score_agreement_rate,free_actual_0_pred_0,free_actual_0_pred_1,free_actual_1_pred_0,free_actual_1_pred_1,score_actual_0_pred_0,score_actual_0_pred_1,score_actual_1_pred_0,score_actual_1_pred_1
Video1,192,192,0,0,0.6927083333333334,0.6927083333333334,0.5989583333333334,0.6470588235294118,0.7415730337078652,0.6910994764397906,0.7444444444444445,0.6504854368932039,0.694300518134715,0.6111111111111112,0.3707865168539326,0.46153846153846156,0.5942028985507246,0.7961165048543689,0.6804979253112032,0.3650476481460032,0.634952363364088,0.7646363861858845,0.5292727608616777,0.6354166666666666,66,23,36,67,33,56,21,82
Video2,192,192,0,0,0.6666666666666666,0.6666666666666666,0.578125,0.6933333333333334,0.5591397849462365,0.6190476190476191,0.6495726495726496,0.7676767676767676,0.7037037037037037,0.625,0.3225806451612903,0.425531914893617,0.5625,0.8181818181818182,0.6666666666666666,0.33877249730865816,0.661227514812102,0.7656187790756425,0.5312375460305248,0.7135416666666666,52,41,23,76,30,63,18,81
Video3,192,192,0,0,0.6614583333333334,0.6614583333333334,0.5104166666666666,0.6991150442477876,0.7181818181818181,0.7085201793721972,0.6075949367088608,0.5853658536585366,0.5962732919254657,0.6081081081081081,0.4090909090909091,0.4891304347826087,0.4491525423728814,0.6463414634146342,0.53,0.4173453693451326,0.582654638865885,0.7699411461750666,0.5398822841391157,0.640625,79,31,34,48,45,65,29,53
Video4,192,192,0,0,0.7395833333333334,0.7395833333333334,0.546875,0.7473684210526316,0.7319587628865979,0.7395833333333333,0.7319587628865979,0.7473684210526316,0.7395833333333333,0.6041666666666666,0.29896907216494845,0.4,0.5277777777777778,0.8,0.6359832635983264,0.3440405755470313,0.6559594383191628,0.7486342980215946,0.49726858217699527,0.5989583333333334,71,26,24,71,29,68,19,76
Video5,192,192,0,0,0.6614583333333334,0.6614583333333334,0.515625,0.6727272727272727,0.7184466019417476,0.6948356807511737,0.6463414634146342,0.5955056179775281,0.6198830409356725,0.5757575757575758,0.36893203883495146,0.4497041420118344,0.48412698412698413,0.6853932584269663,0.5674418604651164,0.38016843958547497,0.6198315639412613,0.7743533765897155,0.5487067496526947,0.6354166666666666,74,29,36,53,38,65,28,61
Video6,192,192,0,0,0.671875,0.671875,0.5729166666666666,0.6504854368932039,0.7127659574468085,0.6802030456852792,0.6966292134831461,0.6326530612244898,0.663101604278075,0.5967741935483871,0.39361702127659576,0.47435897435897434,0.5615384615384615,0.7448979591836735,0.6403508771929824,0.3792940061611887,0.6207059996086173,0.7706448190535108,0.5412896323372157,0.640625,67,27,36,62,37,57,25,73
Video7,192,192,0,0,0.75,0.75,0.5416666666666666,0.7115384615384616,0.8043478260869565,0.7551020408163265,0.7954545454545454,0.7,0.7446808510638298,0.54,0.29347826086956524,0.3802816901408451,0.5422535211267606,0.77,0.6363636363636365,0.34904006365714696,0.6509599418204743,0.7795318054656187,0.5590636054536162,0.6145833333333334,74,18,30,70,27,65,23,77
Video8,192,192,0,0,0.6145833333333334,0.6145833333333334,0.5729166666666666,0.6339285714285714,0.6826923076923077,0.6574074074074074,0.5875,0.5340909090909091,0.5595238095238095,0.6527777777777778,0.4519230769230769,0.5340909090909091,0.525,0.7159090909090909,0.6057692307692308,0.3952522644936873,0.6047477417450864,0.7721912488341331,0.5443824914294927,0.65625,71,33,41,47,47,57,25,63
Video9,192,192,0,0,0.640625,0.640625,0.5,0.6608695652173913,0.7169811320754716,0.6877828054298641,0.6103896103896104,0.5465116279069767,0.5766871165644172,0.5735294117647058,0.36792452830188677,0.44827586206896547,0.4596774193548387,0.6627906976744186,0.5428571428571429,0.3895974103506508,0.6104026041866746,0.7522540365656217,0.504508058593918,0.6197916666666666,76,30,39,47,39,67,29,57
Video10,192,192,0,0,0.6770833333333334,0.6770833333333334,0.5364583333333334,0.6440677966101694,0.7916666666666666,0.7102803738317757,0.7297297297297297,0.5625,0.6352941176470588,0.5573770491803278,0.3541666666666667,0.4331210191082802,0.5267175572519084,0.71875,0.6079295154185023,0.3591317333559327,0.6408682732338397,0.7884821367139617,0.5769642668381513,0.640625,76,20,42,54,34,62,27,69
