normalized_question_category,total_examples,valid_answers,invalid_answers,empty_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
CausaleEsplicita,800,800,0,0,0.53125,0.53125,0.5086705202312138,0.9095607235142119,0.6524559777571826,0.6759259259259259,0.17675544794188863,0.2802303262955855,352,35,340,73
CausaleImplicita,800,800,0,0,0.5725,0.5725,0.5449275362318841,0.9306930693069307,0.6873857404021939,0.7454545454545455,0.20707070707070707,0.3241106719367589,376,28,314,82
Controfattuale,1600,1600,0,0,0.629375,0.629375,0.6628571428571428,0.5651644336175395,0.6101249178172256,0.6033333333333334,0.6970474967907574,0.6468135795116141,464,357,236,543
ImplicitoParziale,1600,1600,0,0,0.50125,0.50125,0.5023569023569023,0.9267080745341615,0.6515283842794759,0.48695652173913045,0.07044025157232704,0.12307692307692306,746,59,739,56
ImplicitoTot,1600,1600,0,0,0.5425,0.5425,0.5312280701754386,0.9220462850182704,0.674087266251113,0.6342857142857142,0.14249037227214378,0.23270440251572327,757,64,668,111
Incertezza,1600,1600,0,0,0.958125,0.958125,0.9232704402515723,0.9918918918918919,0.9563517915309446,0.9925465838509316,0.9290697674418604,0.9597597597597598,734,6,61,799
OutofScope,1600,1600,0,0,0.920625,0.920625,0.8656036446469249,0.988296488946684,0.922890103217972,0.9875346260387812,0.8580024067388689,0.918222794591114,760,9,118,713
Pianificazione,1600,1600,0,0,0.675,0.675,0.6260434056761269,0.9124087591240876,0.7425742574257426,0.8208955223880597,0.4241645244215938,0.559322033898305,750,72,448,330
Sentiment,1600,1600,0,0,0.49875,0.49875,0.5006657789613849,0.9353233830845771,0.6522116218560278,0.46938775510204084,0.05778894472361809,0.1029082774049217,752,52,750,46
SpazialeParziale,1600,1600,0,0,0.513125,0.513125,0.5123226288274833,0.8448275862068966,0.6378428637842863,0.5172413793103449,0.1713197969543147,0.25738798856053385,686,126,653,135
SpazialeTotale,1600,1600,0,0,0.511875,0.511875,0.5024288688410826,0.9187817258883249,0.6496186630776133,0.5974842767295597,0.11699507389162561,0.1956745623069001,724,64,717,95
TemporaleDurata,1600,1600,0,0,0.51875,0.51875,0.5140798952193845,0.965559655596556,0.6709401709401709,0.6164383561643836,0.05717916137229987,0.10465116279069767,785,28,742,45
TemporaleParziale,1600,1600,0,0,0.5575,0.5575,0.5235109717868338,0.8697916666666666,0.6536203522504891,0.691358024691358,0.2692307692307692,0.3875432525951557,668,100,608,224
