EXPERIMENT 2 REPORT
===================

GLOBAL METRICS
--------------
 scope  total_examples  valid_answers  invalid_answers  empty_answers  overall_accuracy  valid_only_accuracy  precision_label_0  recall_label_0  f1_label_0  precision_label_1  recall_label_1  f1_label_1  true_0_pred_0  true_0_pred_1  true_1_pred_0  true_1_pred_1
GLOBAL           19200          19200                0              0            0.6398               0.6398             0.5982          0.8414      0.6993             0.7370          0.4402      0.5512           8039           1515           5400           4246

GLOBAL CONFUSION MATRIX
-----------------------
        pred_0  pred_1
true_0    8039    1515
true_1    5400    4246

METRICS BY NORMALIZED QUESTION CATEGORY
--------------------------------------
normalized_question_category  total_examples  valid_answers  invalid_answers  empty_answers  overall_accuracy  valid_only_accuracy  precision_label_0  recall_label_0  f1_label_0  precision_label_1  recall_label_1  f1_label_1  true_0_pred_0  true_0_pred_1  true_1_pred_0  true_1_pred_1
            CausaleEsplicita             800            800                0              0            0.6088               0.6088             0.5584          0.9147      0.6934             0.8012          0.3220      0.4594            354             33            280            133
            CausaleImplicita             800            800                0              0            0.5813               0.5813             0.5519          0.9084      0.6866             0.7259          0.2475      0.3691            367             37            298             98
              Controfattuale            1600           1600                0              0            0.5869               0.5869             0.6399          0.4458      0.5255             0.5574          0.7356      0.6342            366            455            206            573
           ImplicitoParziale            1600           1600                0              0            0.5169               0.5169             0.5113          0.8994      0.6520             0.5598          0.1296      0.2104            724             81            692            103
                ImplicitoTot            1600           1600                0              0            0.5844               0.5844             0.5594          0.8952      0.6885             0.6993          0.2567      0.3756            735             86            579            200
                  Incertezza            1600           1600                0              0            0.9400               0.9400             0.8985          0.9811      0.9380             0.9823          0.9047      0.9419            726             14             82            778
                  OutofScope            1600           1600                0              0            0.9256               0.9256             0.8916          0.9623      0.9256             0.9623          0.8917      0.9257            740             29             90            741
              Pianificazione            1600           1600                0              0            0.6581               0.6581             0.6162          0.8869      0.7272             0.7770          0.4165      0.5423            729             93            454            324
                   Sentiment            1600           1600                0              0            0.5938               0.5938             0.5585          0.9142      0.6934             0.7570          0.2701      0.3981            735             69            581            215
            SpazialeParziale            1600           1600                0              0            0.5525               0.5525             0.5424          0.7562      0.6317             0.5769          0.3426      0.4299            614            198            518            270
              SpazialeTotale            1600           1600                0              0            0.5513               0.5513             0.5281          0.8338      0.6467             0.6320          0.2771      0.3853            657            131            587            225
             TemporaleDurata            1600           1600                0              0            0.5694               0.5694             0.5460          0.9053      0.6812             0.6944          0.2224      0.3369            736             77            612            175
           TemporaleParziale            1600           1600                0              0            0.6044               0.6044             0.5691          0.7240      0.6372             0.6597          0.4940      0.5649            556            212            421            411

METRICS BY VIDEO
----------------
video_id  total_examples  valid_answers  invalid_answers  empty_answers  overall_accuracy  valid_only_accuracy  precision_label_0  recall_label_0  f1_label_0  precision_label_1  recall_label_1  f1_label_1  true_0_pred_0  true_0_pred_1  true_1_pred_0  true_1_pred_1
  Video1             192            192                0              0            0.6719               0.6719             0.6102          0.8090      0.6957             0.7703          0.5534      0.6441             72             17             46             57
  Video2             192            192                0              0            0.6146               0.6146             0.5613          0.9355      0.7016             0.8378          0.3131      0.4559             87              6             68             31
  Video3             192            192                0              0            0.6458               0.6458             0.6400          0.8727      0.7385             0.6667          0.3415      0.4516             96             14             54             28
  Video4             192            192                0              0            0.6198               0.6198             0.5845          0.8557      0.6946             0.7200          0.3789      0.4966             83             14             59             36
  Video5             192            192                0              0            0.6250               0.6250             0.5975          0.9223      0.7252             0.7576          0.2809      0.4098             95              8             64             25
  Video6             192            192                0              0            0.6615               0.6615             0.6090          0.8617      0.7137             0.7797          0.4694      0.5860             81             13             52             46
  Video7             192            192                0              0            0.6979               0.6979             0.6349          0.8696      0.7339             0.8182          0.5400      0.6506             80             12             46             54
  Video8             192            192                0              0            0.6771               0.6771             0.6419          0.9135      0.7540             0.7955          0.3977      0.5303             95              9             53             35
