normalized_question_category,total_examples,valid_answers,invalid_answers,empty_answers,correct_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
CausaleEsplicita,800,800,0,0,677,0.84625,0.84625,0.8687150837988827,0.8036175710594315,0.8348993288590605,0.8280542986425339,0.8861985472154964,0.8561403508771929,311,76,47,366
CausaleImplicita,800,800,0,0,705,0.88125,0.88125,0.9076517150395779,0.8514851485148515,0.8786717752234993,0.8574821852731591,0.9116161616161617,0.8837209302325582,344,60,35,361
Controfattuale,1600,1600,0,0,1120,0.7,0.7,0.7996485061511424,0.5542021924482339,0.6546762589928058,0.6450048496605237,0.8536585365853658,0.734806629834254,455,366,114,665
ImplicitoParziale,1600,1600,0,0,1207,0.754375,0.754375,0.7530712530712531,0.7614906832298136,0.7572575663990117,0.7557251908396947,0.7471698113207547,0.7514231499051234,613,192,201,594
ImplicitoTot,1600,1600,0,0,1345,0.840625,0.840625,0.8337264150943396,0.8611449451887941,0.8472139005392452,0.848404255319149,0.8189987163029525,0.8334421946440236,707,114,141,638
Incertezza,1600,1600,0,0,1476,0.9225,0.9225,0.9338028169014084,0.8959459459459459,0.9144827586206896,0.9134831460674158,0.9453488372093023,0.929142857142857,663,77,47,813
OutofScope,1600,1600,0,0,1465,0.915625,0.915625,0.9149214659685864,0.9089726918075423,0.9119373776908022,0.916267942583732,0.9217809867629362,0.9190161967606478,699,70,65,766
Pianificazione,1600,1600,0,0,1189,0.743125,0.743125,0.7751004016064257,0.7043795620437956,0.7380497131931165,0.7151230949589683,0.7840616966580977,0.7480073574494175,579,243,168,610
Sentiment,1600,1600,0,0,1381,0.863125,0.863125,0.8429073856975381,0.8942786069651741,0.867833433916717,0.8862115127175368,0.8316582914572864,0.8580686973428386,719,85,134,662
SpazialeParziale,1600,1600,0,0,1146,0.71625,0.71625,0.8013468013468014,0.5862068965517241,0.6770981507823612,0.6660039761431411,0.850253807106599,0.7469342251950948,476,336,118,670
SpazialeTotale,1600,1600,0,0,1422,0.88875,0.88875,0.9472140762463344,0.8197969543147208,0.8789115646258503,0.8453159041394336,0.9556650246305419,0.8971098265895954,646,142,36,776
TemporaleDurata,1600,1600,0,0,1153,0.720625,0.720625,0.7506849315068493,0.6740467404674046,0.7103046014257939,0.6954022988505747,0.7687420584498094,0.7302353651176825,548,265,182,605
TemporaleParziale,1600,1600,0,0,1203,0.751875,0.751875,0.794912559618442,0.6510416666666666,0.7158196134574086,0.7239958805355304,0.8449519230769231,0.7798114254021077,500,268,129,703
