video_id,total_examples,valid_answers,invalid_answers,empty_answers,correct_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video1,192,192,0,0,151,0.7864583333333334,0.7864583333333334,0.8,0.7191011235955056,0.7573964497041421,0.7767857142857143,0.8446601941747572,0.8093023255813954,64,25,16,87
Video2,192,192,0,0,152,0.7916666666666666,0.7916666666666666,0.8117647058823529,0.7419354838709677,0.7752808988764045,0.7757009345794392,0.8383838383838383,0.8058252427184466,69,24,16,83
Video3,192,192,0,0,157,0.8177083333333334,0.8177083333333334,0.9213483146067416,0.7454545454545455,0.8241206030150754,0.7281553398058253,0.9146341463414634,0.8108108108108109,82,28,7,75
Video4,192,192,0,0,157,0.8177083333333334,0.8177083333333334,0.8369565217391305,0.7938144329896907,0.8148148148148148,0.8,0.8421052631578947,0.8205128205128205,77,20,15,80
Video5,192,192,0,0,158,0.8229166666666666,0.8229166666666666,0.896551724137931,0.7572815533980582,0.8210526315789473,0.7619047619047619,0.898876404494382,0.8247422680412371,78,25,9,80
Video6,192,192,0,0,157,0.8177083333333334,0.8177083333333334,0.8314606741573034,0.7872340425531915,0.808743169398907,0.8058252427184466,0.8469387755102041,0.8258706467661691,74,20,15,83
Video7,192,192,0,0,165,0.859375,0.859375,0.9012345679012346,0.7934782608695652,0.8439306358381502,0.8288288288288288,0.92,0.8720379146919431,73,19,8,92
Video8,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.9390243902439024,0.7403846153846154,0.8279569892473119,0.7545454545454545,0.9431818181818182,0.8383838383838385,77,27,5,83
Video9,192,192,0,0,134,0.6979166666666666,0.6979166666666666,0.7666666666666667,0.6509433962264151,0.7040816326530612,0.6372549019607843,0.7558139534883721,0.6914893617021277,69,37,21,65
Video10,192,192,0,0,149,0.7760416666666666,0.7760416666666666,0.7676767676767676,0.7916666666666666,0.7794871794871795,0.7849462365591398,0.7604166666666666,0.7724867724867724,76,20,23,73
Video11,192,192,0,0,155,0.8072916666666666,0.8072916666666666,0.8641975308641975,0.7291666666666666,0.7909604519774011,0.7657657657657657,0.8854166666666666,0.8212560386473429,70,26,11,85
Video12,192,192,0,0,151,0.7864583333333334,0.7864583333333334,0.8767123287671232,0.6666666666666666,0.7573964497041421,0.7310924369747899,0.90625,0.8093023255813953,64,32,9,87
Video13,192,192,0,0,149,0.7760416666666666,0.7760416666666666,0.8666666666666667,0.7155963302752294,0.7839195979899497,0.696078431372549,0.8554216867469879,0.7675675675675676,78,31,12,71
Video14,192,192,0,0,139,0.7239583333333334,0.7239583333333334,0.7029702970297029,0.7553191489361702,0.7282051282051281,0.7472527472527473,0.6938775510204082,0.7195767195767196,71,23,30,68
Video15,192,192,0,0,155,0.8072916666666666,0.8072916666666666,0.8045977011494253,0.7777777777777778,0.7909604519774011,0.8095238095238095,0.8333333333333334,0.8212560386473431,70,20,17,85
Video16,192,192,0,0,156,0.8125,0.8125,0.8260869565217391,0.7037037037037037,0.76,0.8048780487804879,0.8918918918918919,0.8461538461538461,57,24,12,99
Video17,192,192,0,0,135,0.703125,0.703125,0.7666666666666667,0.6571428571428571,0.7076923076923077,0.6470588235294118,0.7586206896551724,0.6984126984126984,69,36,21,66
Video18,192,192,0,0,150,0.78125,0.78125,0.8873239436619719,0.6494845360824743,0.7500000000000001,0.71900826446281,0.9157894736842105,0.8055555555555556,63,34,8,87
Video19,192,192,0,0,172,0.8958333333333334,0.8958333333333334,0.8620689655172413,0.9036144578313253,0.8823529411764707,0.9238095238095239,0.8899082568807339,0.9065420560747663,75,8,12,97
Video20,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8860759493670886,0.7070707070707071,0.7865168539325842,0.7433628318584071,0.9032258064516129,0.8155339805825244,70,29,9,84
Video21,192,192,0,0,158,0.8229166666666666,0.8229166666666666,0.8133333333333334,0.7530864197530864,0.782051282051282,0.8290598290598291,0.8738738738738738,0.8508771929824561,61,20,14,97
Video22,192,192,0,0,152,0.7916666666666666,0.7916666666666666,0.7894736842105263,0.7142857142857143,0.7500000000000001,0.7931034482758621,0.8518518518518519,0.8214285714285715,60,24,16,92
Video23,192,192,0,0,158,0.8229166666666666,0.8229166666666666,0.7934782608695652,0.8295454545454546,0.8111111111111111,0.85,0.8173076923076923,0.8333333333333334,73,15,19,85
Video24,192,192,0,0,145,0.7552083333333334,0.7552083333333334,0.7888888888888889,0.7171717171717171,0.7513227513227514,0.7254901960784313,0.7956989247311828,0.758974358974359,71,28,19,74
