normalized_question_category,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,800,800,0,0,0.79375,0.79375,387,526,0.7110266159695817,0.9664082687338501,0.819277108433735,413,274,0.9525547445255474,0.6319612590799032,0.759825327510917,374,13,152,261
CausaleImplicita,800,800,0,0,0.81625,0.81625,404,497,0.7585513078470825,0.9331683168316832,0.8368479467258603,396,303,0.9108910891089109,0.696969696969697,0.7896995708154506,377,27,120,276
Controfattuale,1600,1600,0,0,0.64375,0.64375,821,1079,0.6163113994439295,0.8099878197320342,0.7,779,521,0.7005758157389635,0.4685494223363286,0.5615384615384617,665,156,414,365
ImplicitoParziale,1600,1600,0,0,0.75125,0.75125,805,1051,0.6936251189343482,0.9055900621118013,0.7855603448275862,795,549,0.8615664845173042,0.5949685534591195,0.7038690476190477,729,76,322,473
ImplicitoTot,1600,1600,0,0,0.811875,0.811875,821,1010,0.7574257425742574,0.9317904993909866,0.8356089568541781,779,590,0.9050847457627119,0.6854942233632862,0.7801314828341855,765,56,245,534
Incertezza,1600,1600,0,0,0.733125,0.733125,740,1091,0.6434463794683777,0.9486486486486486,0.7667941015838341,860,509,0.925343811394892,0.5476744186046512,0.6880934989043097,702,38,389,471
OutofScope,1600,1600,0,0,0.876875,0.876875,769,864,0.8310185185185185,0.9336801040312094,0.8793631353337417,831,736,0.9307065217391305,0.8243080625752106,0.874282067645182,718,51,146,685
Pianificazione,1600,1600,0,0,0.66875,0.66875,822,1268,0.6151419558359621,0.948905109489051,0.7464114832535884,778,332,0.8734939759036144,0.37275064267352187,0.5225225225225226,780,42,488,290
Sentiment,1600,1600,0,0,0.8175,0.8175,804,1046,0.7447418738049714,0.9689054726368159,0.8421621621621622,796,554,0.9548736462093863,0.664572864321608,0.7837037037037037,779,25,267,529
SpazialeParziale,1600,1600,0,0,0.69,0.69,812,1100,0.6436363636363637,0.8719211822660099,0.7405857740585774,788,500,0.792,0.5025380710659898,0.6149068322981367,708,104,392,396
SpazialeTotale,1600,1600,0,0,0.87,0.87,788,798,0.8634085213032582,0.8743654822335025,0.8688524590163935,812,802,0.8765586034912718,0.8657635467980296,0.8711276332094177,689,99,109,703
TemporaleDurata,1600,1600,0,0,0.628125,0.628125,813,1174,0.5928449744463373,0.8560885608856088,0.7005535983895319,787,426,0.7253521126760564,0.3926302414231258,0.5094806265457543,696,117,478,309
TemporaleParziale,1600,1600,0,0,0.65875,0.65875,768,1228,0.5903908794788274,0.9440104166666666,0.7264529058116234,832,372,0.8844086021505376,0.3954326923076923,0.5465116279069766,725,43,503,329
