video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video1,192,192,0,0,0.7604166666666666,0.7604166666666666,89,117,0.6837606837606838,0.898876404494382,0.7766990291262137,103,75,0.88,0.6407766990291263,0.7415730337078652,80,9,37,66
Video2,192,192,0,0,0.6822916666666666,0.6822916666666666,93,130,0.6230769230769231,0.8709677419354839,0.7264573991031389,99,62,0.8064516129032258,0.5050505050505051,0.6211180124223603,81,12,49,50
Video3,192,192,0,0,0.8385416666666666,0.8385416666666666,110,133,0.7969924812030075,0.9636363636363636,0.8724279835390947,82,59,0.9322033898305084,0.6707317073170732,0.7801418439716312,106,4,27,55
Video4,192,192,0,0,0.734375,0.734375,97,136,0.6691176470588235,0.9381443298969072,0.7811158798283261,95,56,0.8928571428571429,0.5263157894736842,0.662251655629139,91,6,45,50
Video5,192,192,0,0,0.8229166666666666,0.8229166666666666,103,117,0.7948717948717948,0.9029126213592233,0.8454545454545455,89,75,0.8666666666666667,0.7303370786516854,0.7926829268292682,93,10,24,65
Video6,192,192,0,0,0.7708333333333334,0.7708333333333334,94,122,0.7049180327868853,0.9148936170212766,0.7962962962962963,98,70,0.8857142857142857,0.6326530612244898,0.7380952380952381,86,8,36,62
Video7,192,192,0,0,0.7708333333333334,0.7708333333333334,92,128,0.6875,0.9565217391304348,0.8,100,64,0.9375,0.6,0.7317073170731707,88,4,40,60
Video8,192,192,0,0,0.7916666666666666,0.7916666666666666,104,122,0.7622950819672131,0.8942307692307693,0.8230088495575222,88,70,0.8428571428571429,0.6704545454545454,0.7468354430379747,93,11,29,59
Video9,192,192,0,0,0.6666666666666666,0.6666666666666666,106,158,0.6329113924050633,0.9433962264150944,0.7575757575757577,86,34,0.8235294117647058,0.32558139534883723,0.46666666666666673,100,6,58,28
Video10,192,192,0,0,0.7291666666666666,0.7291666666666666,96,130,0.6692307692307692,0.90625,0.7699115044247788,96,62,0.8548387096774194,0.5520833333333334,0.6708860759493671,87,9,43,53
Video11,192,192,0,0,0.7395833333333334,0.7395833333333334,96,128,0.6796875,0.90625,0.7767857142857143,96,64,0.859375,0.5729166666666666,0.6875,87,9,41,55
Video12,192,192,0,0,0.7395833333333334,0.7395833333333334,96,116,0.6982758620689655,0.84375,0.7641509433962264,96,76,0.8026315789473685,0.6354166666666666,0.7093023255813953,81,15,35,61
Video13,192,192,0,0,0.78125,0.78125,109,137,0.7445255474452555,0.9357798165137615,0.8292682926829269,83,55,0.8727272727272727,0.5783132530120482,0.6956521739130435,102,7,35,48
Video14,192,192,0,0,0.6770833333333334,0.6770833333333334,94,146,0.6095890410958904,0.9468085106382979,0.7416666666666667,98,46,0.8913043478260869,0.41836734693877553,0.5694444444444445,89,5,57,41
Video15,192,192,0,0,0.6510416666666666,0.6510416666666666,90,147,0.5782312925170068,0.9444444444444444,0.7172995780590717,102,45,0.8888888888888888,0.39215686274509803,0.5442176870748299,85,5,62,40
Video16,192,192,0,0,0.6979166666666666,0.6979166666666666,81,125,0.592,0.9135802469135802,0.7184466019417476,111,67,0.8955223880597015,0.5405405405405406,0.6741573033707865,74,7,51,60
Video17,192,192,0,0,0.6770833333333334,0.6770833333333334,105,137,0.656934306569343,0.8571428571428571,0.743801652892562,87,55,0.7272727272727273,0.45977011494252873,0.5633802816901408,90,15,47,40
Video18,192,192,0,0,0.8072916666666666,0.8072916666666666,97,120,0.75,0.9278350515463918,0.8294930875576036,95,72,0.9027777777777778,0.6842105263157895,0.7784431137724551,90,7,30,65
Video19,192,192,0,0,0.78125,0.78125,83,111,0.6846846846846847,0.9156626506024096,0.7835051546391752,109,81,0.9135802469135802,0.6788990825688074,0.7789473684210526,76,7,35,74
Video20,192,192,0,0,0.796875,0.796875,99,120,0.75,0.9090909090909091,0.821917808219178,93,72,0.875,0.6774193548387096,0.7636363636363636,90,9,30,63
Video21,192,192,0,0,0.703125,0.703125,81,124,0.5967741935483871,0.9135802469135802,0.7219512195121951,111,68,0.8970588235294118,0.5495495495495496,0.6815642458100559,74,7,50,61
Video22,192,192,0,0,0.71875,0.71875,84,114,0.631578947368421,0.8571428571428571,0.7272727272727273,108,78,0.8461538461538461,0.6111111111111112,0.7096774193548387,72,12,42,66
Video23,192,192,0,0,0.7760416666666666,0.7760416666666666,88,111,0.7027027027027027,0.8863636363636364,0.7839195979899497,104,81,0.8765432098765432,0.6826923076923077,0.7675675675675676,78,10,33,71
