video_id,total_examples,valid_answers,invalid_answers,empty_answers,overall_accuracy,valid_only_accuracy,support_label_0,precision_label_0,recall_label_0,f1_label_0,support_label_1,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video1,192,192,0,0,0.7708333333333334,0.7708333333333334,89,0.7647058823529411,0.7303370786516854,0.7471264367816092,103,0.7757009345794392,0.8058252427184466,0.7904761904761904,65,24,20,83
Video2,192,192,0,0,0.7552083333333334,0.7552083333333334,93,0.7738095238095238,0.6989247311827957,0.7344632768361582,99,0.7407407407407407,0.8080808080808081,0.7729468599033815,65,28,19,80
Video3,192,192,0,0,0.8333333333333334,0.8333333333333334,110,0.8545454545454545,0.8545454545454545,0.8545454545454545,82,0.8048780487804879,0.8048780487804879,0.8048780487804877,94,16,16,66
Video4,192,192,0,0,0.7395833333333334,0.7395833333333334,97,0.7155963302752294,0.8041237113402062,0.7572815533980584,95,0.7710843373493976,0.6736842105263158,0.7191011235955056,78,19,31,64
Video5,192,192,0,0,0.8125,0.8125,103,0.8602150537634409,0.7766990291262136,0.8163265306122449,89,0.7676767676767676,0.8539325842696629,0.8085106382978724,80,23,13,76
Video6,192,192,0,0,0.7916666666666666,0.7916666666666666,94,0.7596153846153846,0.8404255319148937,0.7979797979797979,98,0.8295454545454546,0.7448979591836735,0.7849462365591399,79,15,25,73
Video7,192,192,0,0,0.8697916666666666,0.8697916666666666,92,0.8764044943820225,0.8478260869565217,0.861878453038674,100,0.8640776699029126,0.89,0.8768472906403941,78,14,11,89
Video8,192,192,0,0,0.8177083333333334,0.8177083333333334,104,0.8484848484848485,0.8076923076923077,0.8275862068965517,88,0.7849462365591398,0.8295454545454546,0.8066298342541436,84,20,15,73
Video9,192,192,0,0,0.6979166666666666,0.6979166666666666,106,0.7105263157894737,0.7641509433962265,0.7363636363636363,86,0.6794871794871795,0.6162790697674418,0.6463414634146342,81,25,33,53
Video10,192,192,0,0,0.7708333333333334,0.7708333333333334,96,0.7653061224489796,0.78125,0.7731958762886597,96,0.776595744680851,0.7604166666666666,0.7684210526315789,75,21,23,73
Video11,192,192,0,0,0.78125,0.78125,96,0.8375,0.6979166666666666,0.7613636363636364,96,0.7410714285714286,0.8645833333333334,0.7980769230769232,67,29,13,83
Video12,192,192,0,0,0.75,0.75,96,0.8,0.6666666666666666,0.7272727272727272,96,0.7142857142857143,0.8333333333333334,0.7692307692307692,64,32,16,80
Video13,192,192,0,0,0.75,0.75,109,0.8279569892473119,0.7064220183486238,0.7623762376237624,83,0.6767676767676768,0.8072289156626506,0.7362637362637363,77,32,16,67
Video14,192,192,0,0,0.6770833333333334,0.6770833333333334,94,0.6403508771929824,0.776595744680851,0.7019230769230769,98,0.7307692307692307,0.5816326530612245,0.6477272727272727,73,21,41,57
Video15,192,192,0,0,0.7395833333333334,0.7395833333333334,90,0.6785714285714286,0.8444444444444444,0.7524752475247526,102,0.825,0.6470588235294118,0.7252747252747253,76,14,36,66
Video16,192,192,0,0,0.828125,0.828125,81,0.8333333333333334,0.7407407407407407,0.7843137254901961,111,0.825,0.8918918918918919,0.8571428571428571,60,21,12,99
Video17,192,192,0,0,0.6822916666666666,0.6822916666666666,105,0.7291666666666666,0.6666666666666666,0.6965174129353233,87,0.6354166666666666,0.7011494252873564,0.6666666666666666,70,35,26,61
Video18,192,192,0,0,0.765625,0.765625,97,0.8170731707317073,0.6907216494845361,0.7486033519553071,95,0.7272727272727273,0.8421052631578947,0.7804878048780488,67,30,15,80
Video19,192,192,0,0,0.8541666666666666,0.8541666666666666,83,0.7619047619047619,0.963855421686747,0.8510638297872339,109,0.9655172413793104,0.7706422018348624,0.8571428571428572,80,3,25,84
Video20,192,192,0,0,0.8072916666666666,0.8072916666666666,99,0.7980769230769231,0.8383838383838383,0.8177339901477833,93,0.8181818181818182,0.7741935483870968,0.7955801104972376,83,16,21,72
Video21,192,192,0,0,0.8385416666666666,0.8385416666666666,81,0.8472222222222222,0.7530864197530864,0.7973856209150327,111,0.8333333333333334,0.9009009009009009,0.8658008658008659,61,20,11,100
Video22,192,192,0,0,0.78125,0.78125,84,0.723404255319149,0.8095238095238095,0.7640449438202246,108,0.8367346938775511,0.7592592592592593,0.796116504854369,68,16,26,82
