normalized_question_category,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,accuracy,precision_macro,recall_macro,f1_macro,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,800,800,0,0,0.4825,0.48695580487293055,0.48911037283130304,0.4636437246963562,268,119,295,118
CausaleImplicita,800,800,0,0,0.5025,0.49943977591036415,0.49962496249624966,0.4559534143024106,318,86,312,84
Controfattuale,1600,1600,0,0,0.498125,0.4905797101449275,0.4923775601625495,0.469607931772293,584,237,566,213
ImplicitoParziale,1600,1600,0,0,0.50125,0.49727200116994585,0.49886323684518924,0.41445804349740245,709,96,702,93
ImplicitoTot,1600,1600,0,0,0.51,0.49961259777525996,0.49984442404844587,0.41666666666666663,728,93,691,88
Incertezza,1600,1600,0,0,0.46875,0.5011845534233594,0.500345694531741,0.3770052643055166,682,58,792,68
OutofScope,1600,1600,0,0,0.480625,0.4901399491094147,0.4993208552216688,0.3388097680712152,755,14,817,14
Pianificazione,1600,1600,0,0,0.509375,0.49827668642228407,0.4992165950500066,0.42496924546900033,714,108,677,101
Sentiment,1600,1600,0,0,0.505,0.5147916034906836,0.5027438185954649,0.3766614000326623,767,37,755,41
SpazialeParziale,1600,1600,0,0,0.494375,0.4792992629963105,0.48918819234327726,0.4223427162477268,678,134,675,113
SpazialeTotale,1600,1600,0,0,0.5025,0.5124639439707933,0.5073203970893451,0.4481792862725931,653,135,661,151
TemporaleDurata,1600,1600,0,0,0.50625,0.5017908092029382,0.5010604362714529,0.4469297600795301,667,146,644,143
TemporaleParziale,1600,1600,0,0,0.491875,0.5013298740775483,0.5010516826923077,0.4685786071023684,561,207,606,226
