video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,accuracy,precision_macro,recall_macro,f1_macro,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video1,192,192,0,0,0.4791666666666667,0.5089909033213454,0.5046361950474528,0.42279942279942284,76,13,87,16
Video2,192,192,0,0,0.4947916666666667,0.5066643882433356,0.5042359074617139,0.4496291261562102,75,18,79,20
Video3,192,192,0,0,0.5729166666666666,0.5397727272727273,0.5124168514412417,0.43827600970458114,102,8,74,8
Video4,192,192,0,0,0.4635416666666667,0.43482905982905984,0.4602821486706457,0.4033129167546692,75,22,81,14
Video5,192,192,0,0,0.515625,0.4795296167247387,0.48974582742445727,0.4284067991933161,87,16,77,12
Video6,192,192,0,0,0.484375,0.48371059868838584,0.49164133738601823,0.4176292165813904,79,15,84,14
Video7,192,192,0,0,0.5052083333333334,0.5692436974789916,0.5223913043478261,0.4161144722942476,86,6,89,11
Video8,192,192,0,0,0.4895833333333333,0.42592592592592593,0.4606643356643357,0.40053523639607497,84,20,78,10
Video9,192,192,0,0,0.546875,0.5195286195286195,0.5095436594997806,0.454527642621559,92,14,73,13
Video10,192,192,0,0,0.515625,0.5401002506265664,0.515625,0.42840679919331603,87,9,84,12
Video11,192,192,0,0,0.5208333333333334,0.5558139534883721,0.5208333333333333,0.43180648481729283,88,8,84,12
Video12,192,192,0,0,0.46875,0.43327154772937904,0.46875,0.38731072456513577,80,16,86,10
Video13,192,192,0,0,0.5260416666666666,0.4732905982905983,0.4834199182049298,0.4459489456159822,87,22,69,14
Video14,192,192,0,0,0.5104166666666666,0.5384615384615384,0.5180199739470256,0.44019851116625314,83,11,83,15
Video15,192,192,0,0,0.515625,0.5787878787878787,0.538235294117647,0.45718194254445965,81,9,84,18
Video16,192,192,0,0,0.4791666666666667,0.5320742937412205,0.5228561895228562,0.4579333709768492,65,16,84,27
Video17,192,192,0,0,0.53125,0.5099046221570066,0.5073891625615763,0.484179104477612,80,25,65,22
Video18,192,192,0,0,0.484375,0.4553571428571429,0.48046663049376015,0.39724116061518944,83,14,85,10
Video19,192,192,0,0,0.5,0.6006734006734007,0.5495744445672599,0.45351043643263755,76,7,89,20
Video20,192,192,0,0,0.5364583333333334,0.5645348837209303,0.5241120886282177,0.4419880481990661,91,8,81,12
Video21,192,192,0,0,0.5052083333333334,0.5629839189994044,0.547047047047047,0.48820112797777715,66,15,80,31
