normalized_question_category,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,accuracy,precision_macro,recall_macro,f1_macro,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,800,800,0,0,0.485,0.7421777221526908,0.5012106537530266,0.3287223729338254,387,0,412,1
CausaleImplicita,800,800,0,0,0.505,0.2525,0.5,0.3355481727574751,404,0,396,0
Controfattuale,1600,1600,0,0,0.5125,0.501036084315827,0.5001133593616851,0.3625576149847994,798,23,757,22
ImplicitoParziale,1600,1600,0,0,0.5025,0.46569814366424533,0.49940232040314075,0.33776900534318915,801,4,792,3
ImplicitoTot,1600,1600,0,0,0.511875,0.4705908845253107,0.49897898395613227,0.345331056801018,813,8,773,6
Incertezza,1600,1600,0,0,0.461875,0.23108192620387744,0.49932432432432433,0.31594698589140663,739,1,860,0
OutofScope,1600,1600,0,0,0.4825,0.5978835978835979,0.5017080334690058,0.33069139659566044,767,2,826,5
Pianificazione,1600,1600,0,0,0.51375,0.256875,0.5,0.33938893476465737,822,0,778,0
Sentiment,1600,1600,0,0,0.501875,0.2510944340212633,0.4993781094527363,0.33416562630045776,803,1,796,0
SpazialeParziale,1600,1600,0,0,0.5075,0.25375,0.5,0.33665008291873966,812,0,788,0
SpazialeTotale,1600,1600,0,0,0.4925,0.24625,0.5,0.32998324958123953,788,0,812,0
TemporaleDurata,1600,1600,0,0,0.508125,0.2540625,0.5,0.33692498963945294,813,0,787,0
TemporaleParziale,1600,1600,0,0,0.48,0.24,0.5,0.32432432432432434,768,0,832,0
