video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,accuracy,precision_macro,recall_macro,f1_macro,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video1,192,192,0,0,0.4635416666666667,0.23177083333333334,0.5,0.3167259786476868,89,0,103,0
Video2,192,192,0,0,0.4947916666666667,0.7447368421052631,0.51010101010101,0.3484238883252283,93,0,97,2
Video3,192,192,0,0,0.5677083333333334,0.28534031413612565,0.4954545454545455,0.3621262458471761,109,1,82,0
Video4,192,192,0,0,0.5104166666666666,0.7539267015706806,0.5052631578947369,0.34722222222222227,97,0,94,1
Video5,192,192,0,0,0.53125,0.2670157068062827,0.49514563106796117,0.3469387755102041,102,1,89,0
Video6,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video7,192,192,0,0,0.484375,0.7408376963350786,0.505,0.33498932932162473,92,0,99,1
Video8,192,192,0,0,0.546875,0.7722513089005236,0.5056818181818182,0.36377832793753573,104,0,87,1
Video9,192,192,0,0,0.546875,0.27486910994764396,0.49528301886792453,0.35353535353535354,105,1,86,0
Video10,192,192,0,0,0.5052083333333334,0.5846560846560847,0.5052083333333334,0.3535353535353536,95,1,94,2
Video11,192,192,0,0,0.4947916666666667,0.2486910994764398,0.4947916666666667,0.33101045296167253,95,1,96,0
Video12,192,192,0,0,0.5,0.25,0.5,0.3333333333333333,96,0,96,0
Video13,192,192,0,0,0.5625,0.28272251308900526,0.4954128440366973,0.36000000000000004,108,1,83,0
Video14,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video15,192,192,0,0,0.4791666666666667,0.7368421052631579,0.5098039215686274,0.34065934065934067,90,0,100,2
Video16,192,192,0,0,0.421875,0.2109375,0.5,0.2967032967032967,81,0,111,0
Video17,192,192,0,0,0.546875,0.2734375,0.5,0.35353535353535354,105,0,87,0
Video18,192,192,0,0,0.5052083333333334,0.2526041666666667,0.5,0.3356401384083045,97,0,95,0
Video19,192,192,0,0,0.4375,0.7172774869109948,0.5045871559633027,0.3120106171201062,83,0,108,1
Video20,192,192,0,0,0.515625,0.2578125,0.5,0.3402061855670103,99,0,93,0
Video21,192,192,0,0,0.4166666666666667,0.2094240837696335,0.49382716049382713,0.29411764705882354,80,1,111,0
Video22,192,192,0,0,0.4375,0.21875,0.5,0.30434782608695654,84,0,108,0
Video23,192,192,0,0,0.4583333333333333,0.22916666666666666,0.5,0.3142857142857143,88,0,104,0
Video24,192,192,0,0,0.5208333333333334,0.7591623036649215,0.5053763440860215,0.35201760821716804,99,0,92,1
Video25,192,192,0,0,0.453125,0.2265625,0.5,0.3118279569892473,87,0,105,0
Video26,192,192,0,0,0.5260416666666666,0.2630208333333333,0.5,0.3447098976109215,101,0,91,0
Video27,192,192,0,0,0.5052083333333334,0.75,0.5103092783505154,0.35353535353535354,95,0,95,2
Video28,192,192,0,0,0.46875,0.234375,0.5,0.3191489361702128,90,0,102,0
Video29,192,192,0,0,0.5104166666666666,0.25654450261780104,0.494949494949495,0.3379310344827586,98,1,93,0
Video30,192,192,0,0,0.4791666666666667,0.23958333333333334,0.5,0.323943661971831,92,0,100,0
Video31,192,192,0,0,0.4583333333333333,0.23036649214659685,0.4943820224719101,0.3142857142857142,88,1,103,0
Video32,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video33,192,192,0,0,0.484375,0.2421875,0.5,0.3263157894736842,93,0,99,0
Video34,192,192,0,0,0.484375,0.7408376963350786,0.505,0.33498932932162473,92,0,99,1
Video35,192,192,0,0,0.4427083333333333,0.7198952879581152,0.5046296296296297,0.314628857381151,84,0,107,1
Video36,192,192,0,0,0.515625,0.2591623036649215,0.495,0.3402061855670103,99,1,92,0
Video37,192,192,0,0,0.5052083333333334,0.25392670157068065,0.49489795918367346,0.33564013840830453,97,1,94,0
Video38,192,192,0,0,0.4322916666666667,0.21727748691099477,0.49404761904761907,0.3018181818181818,83,1,108,0
Video39,192,192,0,0,0.515625,0.756544502617801,0.5053191489361702,0.3496266618102349,98,0,93,1
Video40,192,192,0,0,0.5416666666666666,0.27225130890052357,0.49523809523809526,0.3513513513513513,104,1,87,0
Video41,192,192,0,0,0.4583333333333333,0.3968253968253968,0.49361841387585903,0.3223836025519207,87,2,102,1
Video42,192,192,0,0,0.4947916666666667,0.3513368983957219,0.48491098567086405,0.3399255715045189,94,4,93,1
Video43,192,192,0,0,0.578125,0.5398936170212766,0.5033366700033366,0.3880779067479835,109,2,79,2
Video44,192,192,0,0,0.4947916666666667,0.24739583333333334,0.5,0.3310104529616725,95,0,97,0
Video45,192,192,0,0,0.53125,0.265625,0.5,0.3469387755102041,102,0,90,0
Video46,192,192,0,0,0.5208333333333334,0.7591623036649215,0.5053763440860215,0.35201760821716804,99,0,92,1
Video47,192,192,0,0,0.484375,0.2421875,0.5,0.3263157894736842,93,0,99,0
Video48,192,192,0,0,0.453125,0.2265625,0.5,0.3118279569892473,87,0,105,0
Video49,192,192,0,0,0.4583333333333333,0.22916666666666666,0.5,0.3142857142857143,88,0,104,0
Video50,192,192,0,0,0.4583333333333333,0.22916666666666666,0.5,0.3142857142857143,88,0,104,0
Video51,192,192,0,0,0.484375,0.2421875,0.5,0.3263157894736842,93,0,99,0
