                          text_logprob  compression_ratio  no_speech_prob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     context
data/videos/Video1.mp4       -0.229300           8.729075        0.676385                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video2.mp4       -0.330005           1.450980        0.012308                                                                                                                                                                                                                                                                                                                                                         fare l'aspirapolvere avete una fetta biscottata bene spaccatela intera la spaccate intera in pochi secondi scomparirà tutto via con l'aspirapolvere
data/videos/Video3.mp4       -0.384266           0.846154        0.875190                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video4.mp4       -0.898044           0.464286        0.527010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
data/videos/Video5.mp4       -0.484021           1.305933        0.202005                                                                                                                                                                                                         dove metti i piedi di gondoliere tutto l'alice, austriaco o italiano, solido ma leggero, mentre quello che manca qua è ancora più leggero dell'alice. Tutte le cornici sono innose, dopo circa 15-16 anni si cambia il fondo a pescaggio, e durante altri 15-20 anni la vita media non ha scappato.
data/videos/Video6.mp4       -0.519652           0.846154        0.632236                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video7.mp4       -0.422250           0.846154        0.612986                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video8.mp4       -0.342689           0.846154        0.684636                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video9.mp4       -0.516144           0.846154        0.580713                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video10.mp4      -0.494828           1.395234        0.059888                                                                                                                                                                                                            Fatemi lanciarlo giù in giardino. Dov'è? Dov'è? E' qua! Chiamatelo! Dove dove dove? E' qua! Guarda che tu voli giù! No sta dormendo! Vanessa non ti mangia! Non ti mangia! Non ti fa niente! Dove scappi? Prendi un pezzo di carta igienica Ma tu non sei normale! Anibaletto! Guarda che bello!
data/videos/Video11.mp4      -0.190822           8.835014        0.799012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video12.mp4      -0.421905           1.248969        0.263662                                                                                                                                                                                                                                                                 mi ha catturato mi dà gli ordini due passi indietro due mani perché io sono armato il cane va a terra senza passare tra me e il cane passa dietro mi fa la perquisizione per vedere se ho rubato qualcosa vede che ho l'arma e me la toglie
data/videos/Video13.mp4      -0.495042           1.788235        0.661145                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video14.mp4      -0.618459           1.418237        0.613268                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video15.mp4      -0.673489           0.869841        0.667665                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ... ... ... ... ... ...
data/videos/Video16.mp4      -0.409563           0.846154        0.829688                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video17.mp4      -0.419795           1.344174        0.633029                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video18.mp4      -0.452898           0.753043        0.575884                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Angela e Vincenzo 
data/videos/Video19.mp4      -0.387499           0.846154        0.536542                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video20.mp4      -0.383819           0.846154        0.818850                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video21.mp4      -0.285282           1.585101        0.813453                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video22.mp4      -0.455886          13.217647        0.654569                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video23.mp4      -0.646560           1.061754        0.226855                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
data/videos/Video24.mp4      -0.756050           0.948558        0.213364                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
data/videos/Video25.mp4      -0.352654           0.846154        0.791764                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video26.mp4      -0.895633           1.162540        0.053428                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
data/videos/Video27.mp4      -0.424958           0.846154        0.800618                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video28.mp4      -0.452839           0.846154        0.699931                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
data/videos/Video29.mp4      -0.646337           1.310714        0.721473                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            unknown_dialogue
