                       log-prob  compression_ratio  no_speech:prob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        type
./Videos/Video1.mp4   -0.229300           8.729075        0.676385                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video2.mp4   -0.330005           1.450980        0.012308                                                                                                                                                                                                                                                                                                                                                         fare l'aspirapolvere avete una fetta biscottata bene spaccatela intera la spaccate intera in pochi secondi scomparirà tutto via con l'aspirapolvere
./Videos/Video3.mp4   -0.384266           0.846154        0.875190                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video4.mp4   -0.898044           0.464286        0.527010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video5.mp4   -0.484021           1.305933        0.202005                                                                                                                                                                                                         dove metti i piedi di gondoliere tutto l'alice, austriaco o italiano, solido ma leggero, mentre quello che manca qua è ancora più leggero dell'alice. Tutte le cornici sono innose, dopo circa 15-16 anni si cambia il fondo a pescaggio, e durante altri 15-20 anni la vita media non ha scappato.
./Videos/Video6.mp4   -0.519652           0.846154        0.632236                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video7.mp4   -0.422250           0.846154        0.612986                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video8.mp4   -0.342689           0.846154        0.684636                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video9.mp4   -0.516144           0.846154        0.580713                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video10.mp4  -0.494828           1.395234        0.059888                                                                                                                                                                                                            Fatemi lanciarlo giù in giardino. Dov'è? Dov'è? E' qua! Chiamatelo! Dove dove dove? E' qua! Guarda che tu voli giù! No sta dormendo! Vanessa non ti mangia! Non ti mangia! Non ti fa niente! Dove scappi? Prendi un pezzo di carta igienica Ma tu non sei normale! Anibaletto! Guarda che bello!
./Videos/Video11.mp4  -0.190822           8.835014        0.799012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video12.mp4  -0.421905           1.248969        0.263662                                                                                                                                                                                                                                                                 mi ha catturato mi dà gli ordini due passi indietro due mani perché io sono armato il cane va a terra senza passare tra me e il cane passa dietro mi fa la perquisizione per vedere se ho rubato qualcosa vede che ho l'arma e me la toglie
./Videos/Video13.mp4  -0.495042           1.788235        0.661145                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video14.mp4  -0.618459           1.418237        0.613268                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video15.mp4  -0.673489           0.869841        0.667665                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ... ... ... ... ... ...
./Videos/Video16.mp4  -0.409563           0.846154        0.829688                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video17.mp4  -0.419795           1.344174        0.633029                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video18.mp4  -0.452898           0.753043        0.575884                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Angela e Vincenzo 
./Videos/Video19.mp4  -0.387499           0.846154        0.536542                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video20.mp4  -0.383819           0.846154        0.818850                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
