                          text_logprob                                                                                                                                                                                                                                                                                                                                                                                                                                                          context
data/videos/Video1.mp4       -0.342936                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video2.mp4       -0.041368                                                                                                                                                                                                                                                                                             Come fare l'aspirapolvere? Avete una fetta biscottata? Bene, spaccatela in terra. La spaccate in terra e in pochi secondi scomparirà tutto. Via con l'aspirapolvere.
data/videos/Video3.mp4       -0.017813                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video4.mp4       -0.036642                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video5.mp4       -0.137626                                                                                                                                                                                                                                                                                                              mentre quello che manca qua è ancora più leggero dell'alice. Tutte le cornici sono in noce. Dopo circa 15-16 anni si cambia il fondo a quest'altro.
data/videos/Video6.mp4       -0.105224                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video7.mp4       -0.595378                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video8.mp4       -0.115102                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video9.mp4       -0.231458                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video10.mp4      -0.229745                                                                                                                                                                                                                 Infatti nell'angolo giunge il giardiniere. Dove? Dove? Dove? Guarda che tu vuoi giù. No, sta dormendo. Vanessa non ti mangia, non ti fa niente. Dove scappi? Prendi un pezzo di carta igienica. Ma tu non sei normale. Animaletto! Guarda che...
data/videos/Video11.mp4      -0.518499                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video12.mp4      -0.208714                                                                                                                                                                                                                                                                                                                                                                                                             Mi ha catturato un medaglione di due passi indietro.
data/videos/Video13.mp4      -0.102757                                                                                                                                                                                                                                                                                                          Ciao bella, ciao bella, ciao ciao ciao, questo è il fiore del partigiano morto per la libertà. E questo è il fiore del partigiano morto per la libertà.
data/videos/Video14.mp4      -0.216638                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video15.mp4      -0.010881                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video16.mp4      -0.109375                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video17.mp4      -0.218420                                                                                                                                                                                                                                                                                                                                                                                            Ecco qua che arriva, vi assicuro è arrivato e non era neanche sudato.
